ip,lat,lon,isp,isprating,rating,ispdlavg,ispulavg,loggedin,country,timestamp
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-14T20:30:04.177010Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-14T21:30:04.116079Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T10:30:04.266835Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T12:30:09.392074Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T15:30:05.088660Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T16:30:05.654411Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T21:30:04.790720Z
86.7.92.97,52.2124,0.1534,Virgin Media,3.7,0,0,0,0,GB,2020-11-15T22:30:07.384125Z
54.240.197.239,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T09:30:04.383694Z
54.240.197.239,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T10:30:06.790882Z
54.240.197.239,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T11:30:04.398472Z
54.240.197.239,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T13:30:07.725281Z
54.240.197.239,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T14:30:06.642823Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-16T14:52:57.413418Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T15:30:06.105448Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T16:30:06.103987Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T17:30:05.702322Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T18:30:04.517166Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T19:30:04.953063Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T20:30:05.533203Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T21:30:04.951985Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T22:30:05.057375Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-16T23:30:05.926416Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T00:30:04.704456Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T01:30:03.740338Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T02:30:05.003512Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T03:30:04.380327Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T04:30:04.917648Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T05:30:04.459600Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T06:30:04.477750Z
54.240.197.230,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T07:30:05.090003Z
54.240.197.238,53.3331,-6.2489,Amazon Office,3.7,0,0,0,0,IE,2020-11-17T08:30:04.626039Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T09:30:04.570824Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T10:30:03.694719Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T11:30:03.884302Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T13:30:09.779069Z
54.239.6.186,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-17T14:30:05.051257Z
54.239.6.185,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-17T15:30:06.101587Z
54.239.6.187,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-17T16:30:04.868339Z
54.239.6.186,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-17T17:30:10.262430Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T18:30:04.683229Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-17T23:30:04.788503Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-18T09:30:13.539849Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-18T10:30:05.498870Z
54.239.6.186,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-18T11:30:06.798865Z
54.239.6.187,50.1188,8.6843,Amazon Office,3.7,0,0,0,0,DE,2020-11-18T13:30:05.003556Z
81.111.29.191,52.2242,0.1315,Virgin Media,3.7,0,0,0,0,GB,2020-11-18T14:30:06.570852Z
